category	month	total_sales
electronics	2017-03	3
electronics	2017-06	2
electronics	2017-07	3
electronics	2017-08	2
electronics	2017-09	2
electronics	2017-11	3
electronics	2017-12	8
electronics	2018-01	12
electronics	2018-02	8
electronics	2018-03	5
electronics	2018-04	1
electronics	2018-05	5
electronics	2018-06	5
electronics	2018-07	6
electronics	2018-08	1
furniture_bedroom	2017-09	1
furniture_bedroom	2018-02	1
furniture_decor	2016-10	5
furniture_decor	2017-01	4
furniture_decor	2017-02	3
furniture_decor	2017-03	23
furniture_decor	2017-04	6
furniture_decor	2017-05	9
furniture_decor	2017-06	6
furniture_decor	2017-07	8
furniture_decor	2017-08	15
furniture_decor	2017-09	5
furniture_decor	2017-10	14
furniture_decor	2017-11	16
furniture_decor	2017-12	6
furniture_decor	2018-01	19
furniture_decor	2018-02	11
furniture_decor	2018-03	21
furniture_decor	2018-04	21
furniture_decor	2018-05	17
furniture_decor	2018-06	12
furniture_decor	2018-07	10
furniture_decor	2018-08	15
furniture_living_room	2017-03	2
furniture_living_room	2017-07	3
furniture_living_room	2017-09	1
furniture_living_room	2017-11	1
furniture_living_room	2018-04	1
furniture_living_room	2018-06	2
furniture_living_room	2018-08	2
furniture_mattress_and_upholstery	2018-01	1
kitchen_dining_laundry_garden_furniture	2017-11	1
kitchen_dining_laundry_garden_furniture	2017-12	1
kitchen_dining_laundry_garden_furniture	2018-01	1
kitchen_dining_laundry_garden_furniture	2018-02	1
kitchen_dining_laundry_garden_furniture	2018-03	1
kitchen_dining_laundry_garden_furniture	2018-04	1
kitchen_dining_laundry_garden_furniture	2018-06	1
kitchen_dining_laundry_garden_furniture	2018-07	1
kitchen_dining_laundry_garden_furniture	2018-08	1
office_furniture	2017-02	2
office_furniture	2017-03	5
office_furniture	2017-04	1
office_furniture	2017-05	3
office_furniture	2017-06	2
office_furniture	2017-07	1
office_furniture	2017-10	1
office_furniture	2017-11	3
office_furniture	2017-12	3
office_furniture	2018-01	1
office_furniture	2018-02	1
office_furniture	2018-03	7
office_furniture	2018-04	3
office_furniture	2018-06	2
office_furniture	2018-07	1
toys	2016-10	1
toys	2017-01	3
toys	2017-03	3
toys	2017-04	4
toys	2017-05	7
toys	2017-06	1
toys	2017-07	5
toys	2017-08	9
toys	2017-09	7
toys	2017-10	14
toys	2017-11	14
toys	2017-12	29
toys	2018-01	2
toys	2018-02	7
toys	2018-03	9
toys	2018-04	7
toys	2018-05	5
toys	2018-06	5
toys	2018-07	7
toys	2018-08	4
