category	cancelled_count	total_orders	cancel_rate_percent
christmas_supplies	1	15	6.67
fixed_telephony	2	36	5.56
books_general_interest	3	57	5.26
kitchen_dining_laundry_garden_furniture	1	47	2.13
musical_instruments	1	80	1.25
toys	7	585	1.2
housewares	9	877	1.03
pet_shop	2	218	0.92
stationery	3	331	0.91
perfumery	4	451	0.89
luggage_accessories	1	123	0.81
furniture_decor	8	1090	0.73
consoles_games	1	142	0.7
cool_stuff	3	523	0.57
health_beauty	5	1064	0.47
sports_leisure	4	1041	0.38
office_furniture	1	306	0.33
garden_tools	2	656	0.3
computers_accessories	3	1002	0.3
watches_gifts	2	874	0.23
telephony	1	438	0.23
auto	1	442	0.23
bed_bath_table	2	1644	0.12
fashion_shoes	0	29	0.0
fashion_sport	0	2	0.0
fashion_underwear_beach	0	17	0.0
agro_industry_and_commerce	0	28	0.0
food	0	47	0.0
food_drink	0	52	0.0
furniture_bedroom	0	20	0.0
furniture_living_room	0	117	0.0
furniture_mattress_and_upholstery	0	8	0.0
home_appliances	0	83	0.0
home_appliances_2	0	45	0.0
home_comfort_2	0	4	0.0
home_confort	0	61	0.0
home_construction	0	72	0.0
industry_commerce_and_business	0	28	0.0
market_place	0	36	0.0
music	0	8	0.0
party_supplies	0	6	0.0
signaling_and_security	0	20	0.0
small_appliances	0	88	0.0
small_appliances_home_oven_and_coffee	0	7	0.0
tablets_printing_image	0	10	0.0
flowers	0	8	0.0
air_conditioning	0	69	0.0
art	0	33	0.0
audio	0	58	0.0
baby	0	359	0.0
books_imported	0	6	0.0
books_technical	0	29	0.0
cds_dvds_musicals	0	2	0.0
cine_photo	0	5	0.0
computers	0	23	0.0
construction_tools_construction	0	122	0.0
construction_tools_lights	0	21	0.0
construction_tools_safety	0	17	0.0
costruction_tools_garden	0	39	0.0
costruction_tools_tools	0	9	0.0
diapers_and_hygiene	0	2	0.0
drinks	0	55	0.0
dvds_blu_ray	0	13	0.0
electronics	0	437	0.0
fashio_female_clothing	0	2	0.0
fashion_bags_accessories	0	200	0.0
fashion_childrens_clothes	0	1	0.0
fashion_male_clothing	0	12	0.0
