order_month	count_customers	repeaters_30d	pct_repeat_within_30d
2016-09	4	0	0.0
2016-10	321	3	0.93
2016-12	1	1	100.0
2017-01	764	22	2.88
2017-02	1752	22	1.26
2017-03	2636	42	1.59
2017-04	2352	30	1.28
2017-05	3596	66	1.84
2017-06	3139	56	1.78
2017-07	3894	67	1.72
2017-08	4184	70	1.67
2017-09	4130	69	1.67
2017-10	4470	65	1.45
2017-11	7304	108	1.48
2017-12	5487	51	0.93
2018-01	7025	93	1.32
2018-02	6451	128	1.98
2018-03	6965	86	1.23
2018-04	6711	66	0.98
2018-05	6622	67	1.01
2018-06	5940	35	0.59
2018-07	6071	70	1.15
2018-08	6271	44	0.7
2018-09	5	0	0.0
2018-10	1	0	0.0
